Project.name,Experiment.name,Experiment.date,Colony.name,Colony.country,Colony.latitude,Colony.longitude,Colony.species,Colony.ed50_value,BioSample.name,BioSample.collection_date,Observation.condition,Observation.temperature,Observation.timepoint,Observation.pam_value,Publication.title,Publication.year,Publication.doi
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_05,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.88,2022-11-24_FJI_Tagaqe_Acrsam_05_37C_420min,2022-11-24,Summer,37,420,0.292,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_05,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.88,2022-11-24_FJI_Tagaqe_Acrsam_05_39C_420min,2022-11-24,Summer,39,420,0.02,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_06,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.73,2022-09-26_FJI_Tagaqe_Acrsam_06_28C_420min,2022-09-26,Winter,28,420,0.651,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_06,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.73,2022-09-26_FJI_Tagaqe_Acrsam_06_34C_420min,2022-09-26,Winter,34,420,0.625,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_06,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.73,2022-09-26_FJI_Tagaqe_Acrsam_06_37C_420min,2022-09-26,Winter,37,420,0.247,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_06,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.73,2022-09-26_FJI_Tagaqe_Acrsam_06_39C_420min,2022-09-26,Winter,39,420,0.007,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_06,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.54,2022-11-24_FJI_Tagaqe_Acrsam_06_28C_420min,2022-11-24,Summer,28,420,0.644,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_06,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.54,2022-11-24_FJI_Tagaqe_Acrsam_06_34C_420min,2022-11-24,Summer,34,420,0.635,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_06,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.54,2022-11-24_FJI_Tagaqe_Acrsam_06_37C_420min,2022-11-24,Summer,37,420,0.208,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_06,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.54,2022-11-24_FJI_Tagaqe_Acrsam_06_39C_420min,2022-11-24,Summer,39,420,0.013,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_07,FJI,-18.20167,177.66057,Acropora cf. samoensis,35.95,2022-09-26_FJI_Tagaqe_Acrsam_07_28C_420min,2022-09-26,Winter,28,420,0.655,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_07,FJI,-18.20167,177.66057,Acropora cf. samoensis,35.95,2022-09-26_FJI_Tagaqe_Acrsam_07_34C_420min,2022-09-26,Winter,34,420,0.632,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_07,FJI,-18.20167,177.66057,Acropora cf. samoensis,35.95,2022-09-26_FJI_Tagaqe_Acrsam_07_37C_420min,2022-09-26,Winter,37,420,0.101,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_07,FJI,-18.20167,177.66057,Acropora cf. samoensis,35.95,2022-09-26_FJI_Tagaqe_Acrsam_07_39C_420min,2022-09-26,Winter,39,420,0.005,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_07,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.48,2022-11-24_FJI_Tagaqe_Acrsam_07_28C_420min,2022-11-24,Summer,28,420,0.639,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_07,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.48,2022-11-24_FJI_Tagaqe_Acrsam_07_34C_420min,2022-11-24,Summer,34,420,0.627,MSc thesis Elisa Jareis,2024,NA
