Project.name,Experiment.name,Experiment.date,Colony.name,Colony.species,Colony.country,Colony.latitude,Colony.longitude,BioSample.name,BioSample.collection_date,Observation.condition,Observation.temperature,Observation.timepoint,Observation.pam_value,Publication.title,Publication.year,Publication.doi
Voolstra et al. 2021,ExT,2018-08-15,ExT3,Stylophora pistillata,SAU,22.26189,39.04878,ExT3-33,2018-08-15,Wild,33,420,0.533,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT4,Stylophora pistillata,SAU,22.26189,39.04878,ExT4-33,2018-08-15,Wild,33,420,0.346,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT5,Stylophora pistillata,SAU,22.26189,39.04878,ExT5-33,2018-08-15,Wild,33,420,0.57,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT6,Stylophora pistillata,SAU,22.26189,39.04878,ExT6-33,2018-08-15,Wild,33,420,0.54,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT7,Stylophora pistillata,SAU,22.26189,39.04878,ExT7-33,2018-08-15,Wild,33,420,0.572,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT1,Stylophora pistillata,SAU,22.26189,39.04878,ExT1-36,2018-08-15,Wild,36,420,0.402,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT2,Stylophora pistillata,SAU,22.26189,39.04878,ExT2-36,2018-08-15,Wild,36,420,0.269,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT3,Stylophora pistillata,SAU,22.26189,39.04878,ExT3-36,2018-08-15,Wild,36,420,0.506,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT4,Stylophora pistillata,SAU,22.26189,39.04878,ExT4-36,2018-08-15,Wild,36,420,0.457,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT5,Stylophora pistillata,SAU,22.26189,39.04878,ExT5-36,2018-08-15,Wild,36,420,0.526,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT6,Stylophora pistillata,SAU,22.26189,39.04878,ExT6-36,2018-08-15,Wild,36,420,0.496,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
